ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2026   20  -0.12  -0.12  -2.44  -4.61  -4.97  -7.16  -7.78  -7.73  -8.16  -1.05  -0.12  -0.12    1     
2022   21   0.00   0.00   0.00   0.00   0.00  -1.71  -1.86  -1.85  -1.95  -0.29  -0.07  -0.07    1     Usos_Consuntivos - SERRA FACAO
2023   21  -0.07  -0.07  -0.59  -1.07  -1.15  -1.64  -1.77  -1.76  -1.86  -0.28  -0.07  -0.07    1     
2024   21  -0.07  -0.07  -0.56  -1.02  -1.10  -1.56  -1.69  -1.68  -1.77  -0.27  -0.08  -0.08    1     
2025   21  -0.08  -0.08  -0.54  -0.97  -1.04  -1.48  -1.61  -1.60  -1.69  -0.26  -0.08  -0.08    1     
2026   21  -0.07  -0.07  -0.48  -0.86  -0.93  -1.31  -1.42  -1.41  -1.49  -0.24  -0.08  -0.08    1     
2022   24   0.00   0.00   0.00   0.00   0.00 -18.11 -18.19 -13.86 -24.30  -7.60  -0.78  -0.97    1     Usos_Consuntivos - EMBORCACAO
2023   24  -0.75  -0.85  -4.35 -12.04  -7.39 -18.67 -18.75 -14.29 -25.07  -7.83  -0.79  -0.99    1     
2024   24  -0.76  -0.86  -4.47 -12.39  -7.60 -19.24 -19.32 -14.72 -25.83  -8.05  -0.80  -1.00    1     
2025   24  -0.77  -0.87  -4.59 -12.75  -7.81 -19.80 -19.89 -15.15 -26.59  -8.28  -0.81  -1.02    1     
2026   24  -0.78  -0.88  -4.71 -13.11  -8.03 -20.36 -20.45 -15.57 -27.36  -8.51  -0.82  -1.03    1     
2022   25   0.00   0.00   0.00   0.00   0.00  -4.54  -5.22  -3.47  -6.10  -1.59  -0.72  -0.72    1     Usos_Consuntivos - NOVA PONTE
2023   25  -0.72  -0.72  -2.45  -2.02  -1.76  -4.67  -5.38  -3.57  -6.28  -1.62  -0.73  -0.73    1     
2024   25  -0.72  -0.73  -2.51  -2.06  -1.80  -4.80  -5.53  -3.67  -6.46  -1.66  -0.73  -0.74    1     
2025   25  -0.73  -0.73  -2.57  -2.11  -1.84  -4.93  -5.68  -3.76  -6.64  -1.69  -0.74  -0.74    1     
2026   25  -0.74  -0.74  -2.63  -2.16  -1.88  -5.06  -5.83  -3.86  -6.82  -1.73  -0.75  -0.75    1     
2022   26   0.00   0.00   0.00   0.00   0.00  -3.58  -3.71  -2.65  -3.95  -0.24  -0.07  -0.06    1     Usos_Consuntivos - MIRANDA
2023   26  -0.06  -0.06  -0.25  -1.35  -1.64  -3.69  -3.82  -2.73  -4.08  -0.25  -0.07  -0.06    1     
2024   26  -0.06  -0.06  -0.26  -1.39  -1.69  -3.81  -3.94  -2.81  -4.20  -0.25  -0.07  -0.06    1     
2025   26  -0.06  -0.06  -0.27  -1.43  -1.74  -3.92  -4.06  -2.89  -4.33  -0.26  -0.07  -0.06    1     
2026   26  -0.06  -0.06  -0.27  -1.47  -1.79  -4.03  -4.17  -2.98  -4.45  -0.26  -0.07  -0.06    1     
2022   27   0.00   0.00   0.00   0.00   0.00  -0.86  -0.88  -0.63  -0.99  -0.39  -0.15  -0.01    1     Usos_Consuntivos - CAPIM BRANC1
2023   27  -0.01  -0.33  -0.45  -0.57  -0.57  -0.89  -0.91  -0.65  -1.02  -0.40  -0.16  -0.01    1     
2024   27  -0.01  -0.34  -0.46  -0.59  -0.58  -0.91  -0.94  -0.66  -1.06  -0.42  -0.16  -0.01    1     
2025   27  -0.01  -0.35  -0.47  -0.61  -0.60  -0.94  -0.97  -0.68  -1.09  -0.43  -0.17  -0.01    1     
2026   27  -0.01  -0.36  -0.49  -0.62  -0.62  -0.97  -1.00  -0.70  -1.12  -0.44  -0.17  -0.01    1     
2022   27   0.00   0.00   0.00   0.00   0.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00    1     Vazao_Remanescente - CAPIM BRANC1
2023   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00    1     
2024   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00    1     
2025   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00    1     
2026   27  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00  -7.00    1     
2022   28   0.00   0.00   0.00   0.00   0.00  -2.00  -2.06  -1.45  -2.31  -0.94  -0.36  -0.02    1     Usos_Consuntivos - CAPIM BRANC2
2023   28  -0.02  -0.80  -1.07  -1.34  -1.33  -2.06  -2.13  -1.50  -2.38  -0.97  -0.37  -0.02    1     
2024   28  -0.02  -0.82  -1.10  -1.38  -1.37  -2.13  -2.19  -1.55  -2.46  -1.00  -0.39  -0.02    1     
2025   28  -0.02  -0.85  -1.13  -1.42  -1.41  -2.19  -2.26  -1.59  -2.53  -1.03  -0.40  -0.02    1     
2026   28  -0.02  -0.87  -1.17  -1.46  -1.45  -2.25  -2.32  -1.64  -2.61  -1.06  -0.41  -0.02    1     
2022   28   0.00   0.00   0.00   0.00   0.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00    1     Vazao_Remanescente - CAPIM BRANC2
2023   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00    1     
2024   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00    1     
2025   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00    1     
2026   28   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00   7.00    1     
2022   29   0.00   0.00   0.00   0.00   0.00  -3.52  -4.12  -4.53  -4.29  -1.08  -0.61  -0.61    1     Usos_Consuntivos - CORUMBA IV
2023   29  -0.61  -0.61  -1.01  -2.89  -3.26  -3.63  -4.24  -4.67  -4.42  -1.11  -0.62  -0.62    1     
2024   29  -0.62  -0.62  -1.03  -2.97  -3.35  -3.73  -4.36  -4.80  -4.55  -1.13  -0.63  -0.63    1     
2025   29  -0.63  -0.63  -1.05  -3.05  -3.44  -3.83  -4.48  -4.94  -4.67  -1.16  -0.64  -0.64    1     
2026   29  -0.64  -0.64  -1.07  -3.13  -3.53  -3.93  -4.61  -5.07  -4.80  -1.18  -0.65  -0.65    1     
2022   30   0.00   0.00   0.00   0.00   0.00  -6.73  -8.03  -8.65  -7.95  -1.59  -0.69  -0.69    1     Usos_Consuntivos - CORUMBA I
2023   30  -0.69  -0.69  -2.32  -5.38  -5.86  -6.94  -8.28  -8.91  -8.19  -1.62  -0.69  -0.70    1     
2024   30  -0.69  -0.69  -2.38  -5.53  -6.03  -7.14  -8.52  -9.18  -8.43  -1.66  -0.70  -0.70    1     
2025   30  -0.70  -0.70  -2.44  -5.69  -6.20  -7.34  -8.76  -9.44  -8.67  -1.70  -0.71  -0.71    1     
2026   30  -0.71  -0.71  -2.50  -5.84  -6.36  -7.54  -9.00  -9.70  -8.91  -1.73  -0.72  -0.72    1     
2022   31   0.00   0.00   0.00   0.00   0.00 -17.94 -18.30 -15.01 -19.17  -7.59  -3.64  -1.87    1     Usos_Consuntivos - ITUMBIARA
2023   31  -1.81  -6.23  -8.00 -12.47 -12.35 -18.49 -18.86 -15.46 -19.76  -7.81  -3.72  -1.90    1     
2024   31  -1.83  -6.40  -8.22 -12.83 -12.71 -19.04 -19.42 -15.92 -20.35  -8.02  -3.81  -1.93    1     
2025   31  -1.86  -6.57  -8.44 -13.19 -13.06 -19.58 -19.98 -16.37 -20.93  -8.23  -3.90  -1.96    1     
2026   31  -1.89  -6.73  -8.67 -13.55 -13.42 -20.13 -20.54 -16.82 -21.52  -8.45  -3.99  -1.99    1     
2022   32   0.00   0.00   0.00   0.00   0.00  -4.68  -4.80  -3.24  -4.73  -0.91  -0.32  -0.31    1     Usos_Consuntivos - CACH.DOURADA
2023   32  -0.31  -0.36  -0.41  -1.52  -3.48  -4.82  -4.95  -3.34  -4.88  -0.93  -0.33  -0.31    1     
