NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 247 IPTER     1.67  6 2025  6 2025  
 247 GTMIN    34.50  6 2025  6 2025  
 247 IPTER     4.03  7 2025  8 2025  
 247 GTMIN    33.68  7 2025  8 2025  
 247 IPTER     0.00  9 2025  9 2025  
 247 GTMIN    34.57  9 2025  9 2025  
 247 IPTER     1.61 10 2025 10 2025  
 247 GTMIN    34.52 10 2025 10 2025  
 247 IPTER     1.67 11 2025 11 2025  
 247 GTMIN    34.50 11 2025 11 2025  
 247 IPTER     0.00 12 2025 12 2025  
 247 GTMIN    34.57 12 2025 12 2025  
 236 POTEF   565.50  8 2023          MARLIM AZUL
 236 GTMIN   420.84 11 2023  4 2024  
 236 GTMIN   420.84 11 2024  4 2025  
 236 GTMIN   420.84 11 2025  4 2026  
 236 GTMIN   420.84 11 2026          
 110 POTEF   572.10  6 2022          N.PIRATINING
 110 FCMAX    96.31  6 2022  6 2022  
 110 TEIFT     0.00  6 2022  7 2022  
 110 FCMAX    97.88  7 2022  7 2022  
 110 FCMAX    97.00  8 2022 12 2024  
 110 FCMAX    65.51  1 2025          
 171 POTEF   400.00  6 2022          NORTEFLU-1
 171 FCMAX   100.00  6 2022          
 171 TEIFT     0.00  6 2022  7 2022  
 171 GTMIN   399.99  6 2022          
 172 POTEF   100.00  6 2022          NORTEFLU-2
 172 FCMAX   100.00  6 2022          
 172 TEIFT     0.00  6 2022  7 2022  
 172 IPTER     0.00  1 2024  8 2024  
 172 IPTER    73.33  9 2024  9 2024  
 172 IPTER     0.00 10 2024 12 2024  
 173 POTEF   200.00  6 2022          NORTEFLU-3
 173 FCMAX   100.00  6 2022          
 173 TEIFT     0.00  6 2022  7 2022  
 173 IPTER     0.00  1 2024  8 2024  
 173 IPTER   100.00  9 2024  9 2024  
 173 IPTER     0.00 10 2024  4 2025  
 173 IPTER    74.19  5 2025  5 2025  
 173 IPTER     0.00  6 2025 10 2025  
 173 IPTER    76.67 11 2025 11 2025  
 173 IPTER     0.00 12 2025 12 2025  
 174 POTEF   126.78  6 2022          NORTEFLU-4
 174 FCMAX    99.38  6 2022  7 2022  
 174 TEIFT     0.00  6 2022  7 2022  
 174 FCMAX   100.00  8 2022          
 174 IPTER     0.00  1 2023  3 2023  
 174 IPTER    73.33  4 2023  4 2023  
 174 IPTER     0.00  5 2023  8 2023  
 174 IPTER    33.33  9 2023  9 2023  
 174 IPTER     0.00 10 2023  2 2024  
 174 IPTER    32.26  3 2024  3 2024  
 174 IPTER     0.00  4 2024  8 2024  
 174 IPTER   100.00  9 2024  9 2024  
 174 IPTER    93.55 10 2024 10 2024  
 174 IPTER     0.00 11 2024  4 2025  
 174 IPTER   100.00  5 2025  5 2025  
 174 IPTER     0.00  6 2025 10 2025  
 174 IPTER   100.00 11 2025 11 2025  
 174 IPTER     0.00 12 2025 12 2025  
 229 POTEF    50.00  6 2022          ONCA PINTADA
 229 FCMAX    97.12  6 2022  6 2022  
 229 TEIFT     0.00  6 2022  7 2022  
 229 GTMIN     6.86  6 2022          
 229 FCMAX   100.00  7 2022  7 2022  
 229 FCMAX    95.00  8 2022          
 229 IPTER     0.00  1 2023  5 2023  
 229 IPTER    23.33  6 2023  6 2023  
 229 IPTER     0.00  7 2023  1 2024  
 229 IPTER    34.48  2 2024  2 2024  
 229 IPTER     0.00  3 2024  4 2025  
 229 IPTER    32.26  5 2025  5 2025  
 229 IPTER     0.00  6 2025  7 2026  
 229 IPTER    32.26  8 2026  8 2026  
 229 IPTER     0.00  9 2026          
 182 POTEF   175.56  6 2022          PALMEIRAS GO
 182 FCMAX    11.39  6 2022  6 2022  
 182 TEIFT     0.00  6 2022  7 2022  
 182 FCMAX    55.49  7 2022  7 2022  
 182 FCMAX    80.00  8 2022 12 2025  
 182 FCMAX     0.00  1 2026          
 248 POTEF    15.95  7 2022 12 2025  PAULINIA VER
 248 FCMAX    98.43  7 2022  7 2022  
 248 TEIFT     0.00  7 2022  7 2022  
 248 GTMIN    15.69  7 2022  7 2022  
 248 FCMAX   100.00  8 2022 12 2025  
 248 GTMIN    15.74  8 2022 12 2022  
 248 GTMIN    15.73  1 2023 12 2025  
  50 POTEF   200.00  6 2022          PIRAT.12 G
  50 FCMAX     0.00  6 2022          
 249 POTEF   115.92  8 2022 12 2025  PORSUD I
 249 GTMIN   101.14  8 2022  9 2022  
 249 IPTER     2.04  1 2023  1 2023  
 249 IPTER     1.69  2 2023  2 2023  
 249 IPTER     0.17  3 2023  3 2023  
 249 IPTER     0.00  4 2023  9 2023  
 249 GTMIN   101.14  7 2023  9 2023  
 249 IPTER     3.57 10 2023 10 2023  
 249 IPTER     0.17 11 2023 11 2023  
 249 IPTER     2.04 12 2023  1 2024  
 249 IPTER     1.63  2 2024  2 2024  
 249 IPTER     0.17  3 2024  3 2024  
 249 IPTER     0.00  4 2024  9 2024  
 249 GTMIN   101.14  7 2024  9 2024  
 249 IPTER     3.57 10 2024 10 2024  
 249 IPTER     0.17 11 2024 11 2024  
 249 IPTER     2.04 12 2024  1 2025  
 249 IPTER     1.69  2 2025  2 2025  
 249 IPTER     0.17  3 2025  3 2025  
 249 IPTER     0.00  4 2025  9 2025  
 249 GTMIN   101.14  7 2025  9 2025  
 249 IPTER     3.57 10 2025 10 2025  
 249 IPTER     0.17 11 2025 11 2025  
 249 IPTER     2.04 12 2025 12 2025  
 250 POTEF    78.32  8 2022 12 2025  PORSUD II
 250 GTMIN    66.87  8 2022  9 2022  
 250 IPTER     0.00  1 2023  9 2023  
 250 GTMIN    66.87  7 2023  9 2023  
 250 IPTER     8.94 10 2023 10 2023  
 250 IPTER     0.00 11 2023 11 2023  
 250 IPTER     9.68 12 2023 12 2023  
 250 IPTER     0.00  1 2024  9 2024  
 250 GTMIN    66.87  7 2024  9 2024  
 250 IPTER     8.94 10 2024 10 2024  
 250 IPTER     0.00 11 2024 11 2024  
 250 IPTER     9.68 12 2024 12 2024  
 250 IPTER     0.00  1 2025  9 2025  
 250 GTMIN    66.87  7 2025  9 2025  
 250 IPTER     8.94 10 2025 10 2025  
 250 IPTER     0.00 11 2025 11 2025  
 250 IPTER     9.68 12 2025 12 2025  
 251 POTEF    74.96  8 2022 12 2025  POVOACAO 1
 251 GTMIN    71.98  8 2022  9 2022  
 251 GTMIN    71.01 10 2022 10 2022  
 251 GTMIN    71.25 11 2022 11 2022  
 251 GTMIN    71.90 12 2022 12 2022  
 251 IPTER     3.23  1 2023  1 2023  
 251 GTMIN    70.72  1 2023  1 2023  
 251 IPTER     1.79  2 2023  2 2023  
 251 GTMIN    71.77  2 2023  2 2023  
 251 IPTER     2.42  3 2023  3 2023  
 251 GTMIN    71.31  3 2023  3 2023  
 251 IPTER     3.33  4 2023  4 2023  
 251 GTMIN    70.64  4 2023  4 2023  
 251 IPTER     0.81  5 2023  5 2023  
 251 GTMIN    71.98  5 2023  5 2023  
 251 IPTER     4.58  6 2023  6 2023  
 251 GTMIN    69.73  6 2023  6 2023  
 251 IPTER     4.44  7 2023  7 2023  
 251 GTMIN    69.83  7 2023  7 2023  
 251 IPTER     1.61  8 2023  8 2023  
 251 GTMIN    71.90  8 2023  8 2023  
 251 IPTER     2.50  9 2023  9 2023  
 251 GTMIN    71.25  9 2023  9 2023  
 251 IPTER     3.23 10 2023 10 2023  
 251 GTMIN    70.72 10 2023 10 2023  
 251 IPTER     0.83 11 2023 11 2023  
 251 GTMIN    71.98 11 2023 11 2023  
 251 IPTER     3.23 12 2023 12 2023  
 251 GTMIN    70.72 12 2023 12 2023  
 251 IPTER     2.42  1 2024  1 2024  
 251 GTMIN    71.31  1 2024  1 2024  
 251 IPTER     1.72  2 2024  2 2024  
 251 GTMIN    71.82  2 2024  2 2024  
 251 IPTER     3.23  3 2024  3 2024  
 251 GTMIN    70.72  3 2024  3 2024  
 251 IPTER     1.67  4 2024  4 2024  
 251 GTMIN    71.86  4 2024  4 2024  
 251 IPTER     6.85  5 2024  5 2024  
 251 GTMIN    68.07  5 2024  5 2024  
 251 IPTER     5.42  6 2024  6 2024  
 251 GTMIN    69.11  6 2024  6 2024  
 251 IPTER     4.44  7 2024  7 2024  
 251 GTMIN    69.83  7 2024  7 2024  
 251 IPTER     5.24  8 2024  8 2024  
 251 GTMIN    69.25  8 2024  8 2024  
 251 IPTER     7.50  9 2024  9 2024  
 251 GTMIN    67.59  9 2024  9 2024  
 251 IPTER     6.85 10 2024 10 2024  
 251 GTMIN    68.07 10 2024 10 2024  
 251 IPTER     8.75 11 2024 11 2024  
 251 GTMIN    66.68 11 2024 11 2024  
 251 IPTER     6.45 12 2024 12 2024  
 251 GTMIN    68.36 12 2024 12 2024  
 251 IPTER     6.05  1 2025  1 2025  
 251 GTMIN    68.65  1 2025  1 2025  
 251 IPTER     6.70  2 2025  2 2025  
 251 GTMIN    68.18  2 2025  2 2025  
 251 IPTER     2.02  3 2025  3 2025  
 251 GTMIN    71.60  3 2025  3 2025  
 251 IPTER     2.08  4 2025  4 2025  
 251 GTMIN    71.56  4 2025  4 2025  
 251 IPTER     3.63  5 2025  5 2025  
 251 GTMIN    70.42  5 2025  5 2025  
 251 IPTER     2.08  6 2025  6 2025  
 251 GTMIN    71.56  6 2025  6 2025  
 251 IPTER     3.23  7 2025  7 2025  
 251 GTMIN    70.72  7 2025  7 2025  
 251 IPTER     2.42  8 2025  8 2025  
 251 GTMIN    71.31  8 2025  8 2025  
 251 IPTER     2.50  9 2025  9 2025  
 251 GTMIN    71.25  9 2025  9 2025  
 251 IPTER     2.02 10 2025 10 2025  
