EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
21SUAPE II       170SUAPE II          7 01122022   2     22.43
21SUAPE II       170SUAPE II          8 01082022   2     22.43
21SUAPE II       170SUAPE II          8 01092022   7     22.43
21SUAPE II       170SUAPE II          8 01102022   2     22.43
21SUAPE II       170SUAPE II          8 01122022   2     22.43
21SUAPE II       170SUAPE II          9 01082022   2     22.43
21SUAPE II       170SUAPE II          9 01092022   2     22.43
21SUAPE II       170SUAPE II          9 01102022   2     22.43
21SUAPE II       170SUAPE II          9 01112022   2     22.43
21SUAPE II       170SUAPE II          9 01122022   2     22.43
21SUAPE II       170SUAPE II         10 01082022   2     22.43
21SUAPE II       170SUAPE II         10 01092022   2     22.43
21SUAPE II       170SUAPE II         10 01102022   7     22.43
21SUAPE II       170SUAPE II         10 01112022   2     22.43
21SUAPE II       170SUAPE II         10 01122022   2     22.43
21SUAPE II       170SUAPE II         11 01082022  48     22.43
21SUAPE II       170SUAPE II         11 01102022   2     22.43
21SUAPE II       170SUAPE II         11 01112022   2     22.43
21SUAPE II       170SUAPE II         11 01122022   2     22.43
21SUAPE II       170SUAPE II         12 01082022   2     22.43
21SUAPE II       170SUAPE II         12 01092022   2     22.43
21SUAPE II       170SUAPE II         12 01102022   2     22.43
21SUAPE II       170SUAPE II         12 01112022  48     22.43
21SUAPE II       170SUAPE II         13 01082022   2     22.43
21SUAPE II       170SUAPE II         13 01092022   2     22.43
21SUAPE II       170SUAPE II         13 01102022   2     22.43
21SUAPE II       170SUAPE II         13 01112022   2     22.43
21SUAPE II       170SUAPE II         13 01122022  31     22.43
21SUAPE II       170SUAPE II         14 01082022   2     22.43
21SUAPE II       170SUAPE II         14 01092022   2     22.43
21SUAPE II       170SUAPE II         14 01102022   2     22.43
21SUAPE II       170SUAPE II         14 01112022   2     22.43
21SUAPE II       170SUAPE II         14 01122022   2     22.43
21SUAPE II       170SUAPE II         15 01082022   2     22.43
21SUAPE II       170SUAPE II         15 01092022   2     22.43
21SUAPE II       170SUAPE II         15 01102022   2     22.43
21SUAPE II       170SUAPE II         15 01112022   2     22.43
21SUAPE II       170SUAPE II         15 01122022  31     22.43
21SUAPE II       170SUAPE II         16 01082022   2     22.43
21SUAPE II       170SUAPE II         16 01092022   2     22.43
21SUAPE II       170SUAPE II         16 01102022   2     22.43
21SUAPE II       170SUAPE II         16 01112022   2     22.43
21SUAPE II       170SUAPE II         16 01122022   2     22.43
21SUAPE II       170SUAPE II         17 01082022  48     22.43
21SUAPE II       170SUAPE II         17 01102022   2     22.43
21SUAPE II       170SUAPE II         17 01112022   2     22.43
21SUAPE II       170SUAPE II         17 01122022   2     22.43
37ELETRONORTE    201APARECIDA         1 10082022   2     40.00
37ELETRONORTE    201APARECIDA         1 20102022   1     40.00
37ELETRONORTE    201APARECIDA         1 23112022   1     40.00
37ELETRONORTE    201APARECIDA         3 10082022   1     43.00
37ELETRONORTE    201APARECIDA         3 01092022  30     43.00
37ELETRONORTE    201APARECIDA         3 01122022  13     43.00
37ELETRONORTE    140MAUA 3            1 13082022   2    189.55
37ELETRONORTE    140MAUA 3            1 24092022   2    189.55
37ELETRONORTE    140MAUA 3            1 15102022   2    189.55
37ELETRONORTE    140MAUA 3            1 26112022   2    189.55
37ELETRONORTE    140MAUA 3            1 10122022   2    189.55
