 POST        USINA       JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXXXX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX
MESPLAN =    6     ANOPLAN = 2022
  118                  43.00     23.00     33.00     26.00     14.00     13.00     12.00     14.00     13.00     24.00     18.00     30.00
  119                  53.00     28.00     40.00     32.00     17.00     16.00     14.00     17.00     16.00     30.00     22.00     37.00
  120                  41.00     42.00     29.00     18.00     13.00     13.00     13.00     12.00     10.00     20.00     14.00     20.00
  121                 113.00    122.00     67.00    109.00     72.00     38.00     32.00     35.00     32.00     59.00     48.00     57.00
  122                 134.00    150.00     78.00    116.00     79.00     43.00     36.00     38.00     35.00     67.00     57.00     70.00
  123                 388.00    489.00    219.00    229.00    156.00    107.00     86.00     87.00     79.00    167.00    166.00    222.00
  125                 522.00    710.00    276.00    307.00    191.00    131.00    103.00    104.00     95.00    220.00    236.00    287.00
  126                 340.00    340.00    302.00    316.00    154.00     70.00     27.00     23.00     16.00    172.00    207.00    312.00
  127                 870.00   1144.00    392.00    406.00    244.00    160.00    117.00    113.00    106.00    262.00    297.00    402.00
  129                1085.00   1351.00    581.00    621.00    414.00    253.00    188.00    185.00    172.00    405.00    459.00    602.00
  130                1264.00   1559.00    669.00    687.00    449.00    294.00    218.00    213.00    200.00    461.00    521.00    686.00
  131                 144.00    144.00    144.00    144.00    144.00     86.00     67.00     68.00     62.00    134.00    144.00    144.00
  132                  42.00     38.00     28.00     45.00     39.00     10.00      6.00      6.00      7.00     13.00     15.00     36.00
  134                 388.00    449.00    125.00     87.00     68.00     43.00     33.00     27.00     23.00     86.00    225.00    270.00
  135                 208.00    188.00    159.00    117.00     89.00     76.00     67.00     59.00     60.00     70.00    109.00    173.00
  141                1641.00   1668.00    621.00    482.00    376.00    197.00    169.00    152.00    132.00    362.00    705.00    868.00
  144                2069.00   2407.00    934.00    715.00    550.00    324.00    265.00    223.00    192.00    499.00   1011.00   1252.00
  145                 110.00    173.00    175.00    116.00     91.00     56.00     47.00     44.00     46.00     50.00     91.00    120.00
  148                1799.00   1929.00    738.00    567.00    439.00    282.00    222.00    177.00    154.00    410.00    811.00   1000.00
  149                 562.00    408.00    164.00    141.00    111.00     71.00     56.00     46.00     42.00    101.00    123.00    187.00
  154                 124.00    127.00    116.00    110.00     98.00     87.00     82.00     79.00     77.00    112.00    101.00    142.00
  155                 753.00    488.00    178.00    115.00     89.00     39.00     34.00     34.00     29.00     72.00     98.00    184.00
  156                3862.00   2616.00   1075.00    574.00    409.00    148.00     99.00     78.00     70.00    243.00    578.00   1142.00
  158                  51.00     54.00     38.00     24.00     21.00     22.00     17.00     15.00     10.00     12.00     19.00     42.00
  160                  16.00     14.00     12.00     13.00      7.00      5.00      5.00      5.00      5.00      7.00      6.00     10.00
  161                 263.00    144.00    206.00     93.00     65.00     49.00     47.00     52.00     42.00    103.00     82.00    140.00
  164                 183.00     93.00    140.00     45.00     35.00     19.00     19.00     21.00     13.00     58.00     45.00     87.00
  168                4500.00   3516.00   3409.00   1462.00    717.00    399.00    399.00    384.00    353.00    352.00   1003.00   2240.00
  169                6510.00   7121.00   5847.00   2244.00   1220.00    586.00    536.00    481.00    436.00    476.00   1412.00   3024.00
  171                   0.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  172                6381.00   7611.00   6001.00   2448.00   1244.00    589.00    539.00    483.00    441.00    462.00   1340.00   2946.00
  173                6381.00   7611.00   6001.00   2448.00   1244.00    589.00    539.00    483.00    441.00    462.00   1340.00   2946.00
  175                6381.00   7611.00   6001.00   2448.00   1244.00    589.00    539.00    483.00    441.00    462.00   1340.00   2946.00
  176                6381.00   7611.00   6001.00   2448.00   1244.00    589.00    539.00    483.00    441.00    462.00   1340.00   2946.00
  178                6221.00   7736.00   6026.00   2562.00   1258.00    590.00    541.00    485.00    443.00    448.00   1299.00   2871.00
  183                 324.00    184.00     71.00     59.00     50.00     28.00     23.00     20.00     18.00     62.00    100.00    101.00
  187                 122.00    123.00    122.00    101.00     87.00     77.00     68.00     62.00     61.00     68.00     86.00    112.00
  188                1047.00    705.00    211.00    105.00     66.00     27.00     19.00     17.00     12.00     44.00    343.00   1388.00
  190                1344.00    680.00    775.00    620.00    369.00    250.00    217.00    196.00    192.00    234.00    442.00    839.00
  191                2959.00   2234.00   1425.00    700.00    421.00    288.00    197.00    122.00    120.00    224.00    638.00   1721.00
  196                  83.00    108.00     45.00     42.00     26.00     20.00     16.00     14.00     14.00     40.00     55.00     67.00
  197                  70.00     84.00     40.00     36.00     25.00     18.00     14.00     13.00     14.00     34.00     29.00     42.00
  198                 139.00    165.00     81.00     77.00     57.00     40.00     31.00     31.00     29.00     68.00     59.00     89.00
  199                1323.00   1632.00    700.00    719.00    470.00    308.00    228.00    223.00    209.00    483.00    546.00    718.00
  201                  42.00     32.00     20.00     49.00     35.00      7.00      4.00      4.00      5.00      9.00     11.00     27.00
  202                  17.00     13.00      8.00     20.00     14.00      3.00      2.00      2.00      2.00      4.00      4.00     11.00
