dates;SE;S;NE;N
1944-07-01;18858.61;2641.81;4398.2;5226.73
1944-08-01;15136.56;1391.68;3851.89;3104.73
1944-09-01;13024.07;2522.34;3325.69;2157.41
1944-10-01;14697.3;2470.47;2949.1;2141.03
1944-11-01;28604.27;4457.13;5050.92;4775.49
1944-12-01;35247.38;3197.09;12038.34;9561.8
1945-01-01;52401.73;1248.91;18223.71;21956.5
1945-02-01;86525.2;2968.99;20664.62;32894.38
1945-03-01;80131.09;3534.12;23666.77;30142.69
1945-04-01;78559.11;1739.22;22815.42;35732.02
1945-05-01;46776.06;1330.63;25954.25;29957.55
1945-06-01;32614.06;2105.46;13098.97;21054.67
1945-07-01;28305.52;6591.17;7883.85;7126.68
1945-08-01;19234;4027.6;6358.26;4435.27
1945-09-01;16921.1;4035.22;5171.06;3194.36
1945-10-01;20730.42;4372.69;5648.87;4448.63
1945-11-01;35994.99;2890.25;9566.76;8119.53
1945-12-01;68365.08;3217.93;17051.64;13651.74
1946-01-01;91237.21;8869.69;20705.86;17968.58
1946-02-01;76477.67;20687.98;30652.07;22646.13
1946-03-01;85900.17;13964.62;13938.49;25769.22
1946-04-01;60022.07;5856.52;16252.66;20531.19
1946-05-01;41151.88;5732.38;11157.14;16648.68
1946-06-01;34405.25;9719.57;7422.79;9180.15
1946-07-01;33089.4;16892.52;6002.77;6820.63
1946-08-01;22527.33;6655.18;5201.97;4180.67
1946-09-01;18326.67;5662.81;4440.25;2572.48
1946-10-01;23127.87;10423.27;4582.56;1577.53
1946-11-01;27749.99;6483.1;6328.18;3289.71
1946-12-01;38066.38;8490.54;11589.23;5444.8
1947-01-01;64756.97;6651.45;11002.96;13278.34
1947-02-01;75473.78;9003.07;14739.32;23446.32
1947-03-01;109257.21;6495.13;18074.85;29984.3
1947-04-01;70213.63;3464.87;22991.35;35908.18
1947-05-01;43700.96;4500.72;14019.2;24898.13
1947-06-01;31950.23;8489.73;7121.97;14655.4
1947-07-01;26550.28;6553.74;5745.98;5565.74
1947-08-01;22690.43;8213.8;4844.73;3723.7
1947-09-01;26376.91;16520.78;4658.77;2924.74
1947-10-01;27908.78;13614.64;4375.36;3437.34
1947-11-01;30166.73;5692.29;9577.55;6446.18
1947-12-01;52269;7279.11;13893.08;10831.1
1948-01-01;62032.05;5023.43;18320.2;17869.36
1948-02-01;68449.49;8186.23;13815.46;23591
1948-03-01;72375.48;6945.18;16609.75;27661.16
1948-04-01;53038.12;7195.78;12630.97;27672.73
1948-05-01;34879.94;11775.4;6790.69;18068.91
1948-06-01;29383.35;6593.93;5563.3;8740.52
1948-07-01;22117.4;7865.22;4894.99;5043.01
1948-08-01;20199.42;16986.27;4138.44;2921.15
1948-09-01;15813.49;5548.36;3615.9;2146.84
1948-10-01;17596.05;7275.52;3773.58;2057.19
1948-11-01;26716.76;8044.12;4332.38;2608.78
1948-12-01;58605.92;2558.89;15962.12;12950.02
1949-01-01;63069.31;2751.33;22471.56;26781.25
1949-02-01;87303.36;1565.41;27835.46;30099.45
1949-03-01;68314.49;3563.68;37330.56;29418.77
1949-04-01;50516.07;6100.77;22960.58;20611.95
1949-05-01;37599.34;4527.15;10769.64;17577.13
1949-06-01;29083.37;8430.86;7906.03;8804.26
1949-07-01;22255.22;4963.08;6480.74;5483.42
